"module name","license","repository"
"@types/node@25.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is"
"docx@9.6.0","MIT","https://github.com/dolanmiu/docx"
"hash.js@1.1.7","MIT","https://github.com/indutny/hash.js"
"immediate@3.0.6","MIT","https://github.com/calvinmetcalf/immediate"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"jszip@3.10.1","(MIT OR GPL-3.0-or-later)","https://github.com/Stuk/jszip"
"lie@3.3.0","MIT","https://github.com/calvinmetcalf/lie"
"minimalistic-assert@1.0.1","ISC","https://github.com/calvinmetcalf/minimalistic-assert"
"nanoid@5.1.6","MIT","https://github.com/ai/nanoid"
"novelcraft-pro-windows@1.0.1","UNKNOWN",""
"pako@1.0.11","(MIT AND Zlib)","https://github.com/nodeca/pako"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"readable-stream@2.3.8","MIT","https://github.com/nodejs/readable-stream"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"sax@1.4.4","BlueOak-1.0.0","https://github.com/isaacs/sax-js"
"setimmediate@1.0.5","MIT","https://github.com/YuzuJS/setImmediate"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder"
"undici-types@7.18.2","MIT","https://github.com/nodejs/undici"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"xml-js@1.6.11","MIT","https://github.com/nashwaan/xml-js"
"xml@1.0.1","MIT","https://github.com/dylang/node-xml"
